name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Houdini (feat. Swarmz & Tion Wayne),KSI,3lay6f81Lhy0qp2Uvp4cNJ,0.572,0.519,-8.054,0.243,0.000415,100.453,0.129,0.704
Location (feat. Burna Boy),Dave,3z4CGd63tpUn9a6oQSG0CI,0.812,0.496,-5.969,0.297,0.271,109.979,0.0955,0.55
Thiago Silva,Dave,3DKCTIiJ97bS9TGiqcABjo,0.667,0.673,-7.574,0.323,0.0641,144.256,0.0975,0.669
Professor X,Dave,5wfyoR8XOkw45QRtFOoxyi,0.891,0.675,-6.892,0.152,0.11,127.012,0.275,0.562
Breathe,Dave,0v5yhvtJl1ZXqfdJEBKlpz,0.71,0.721,-5.276,0.0956,0.0251,111.959,0.0663,0.333
Wanna Know,Dave,3a8S52AbaYoYZh8aHG5w4M,0.643,0.569,-8.64,0.0711,0.053,99.895,0.1,0.385
71 / End Credits,Dave,7rU6zuzCGa0YABHrIGM6WA,0.615,0.554,-7.945,0.207,0.463,140.004,0.0934,0.393
Wanna Know Remix (feat. Drake),Dave,7bPLo5Fv7h15E2fW3g1mVQ,0.717,0.507,-8.595,0.0445,0.0741,100.017,0.241,0.198
Samantha,Dave,4YLzVD32aMH4qgSsSPtNbl,0.788,0.665,-9.184,0.31,0.461,139.918,0.103,0.314
Revenge,Dave,5bskHzhvgKaYlIKDFkA4dF,0.632,0.693,-8.291,0.175,0.0728,98.745,0.171,0.338
100M's,Dave,5Z1EX2sRJk1e8tQofsFnVW,0.704,0.73,-6.709,0.276,0.151,147.081,0.103,0.753
Tequila,Dave,6ctmWJntoQg4n8cZEQqCjA,0.776,0.65,-7.12,0.0945,0.358,108.038,0.111,0.356
Hangman,Dave,7r7NTwtWAhPRtzylDu3hnE,0.58,0.598,-6.733,0.389,0.602,91.282,0.113,0.641
Funky Friday,Dave,01IQ4aQgOf0Kkq3a273hmO,0.975,0.535,-7.227,0.196,0.0783,125.066,0.107,0.671
Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,5Va44ERiHtC2tfBD53OApA,0.747,0.649,-6.218,0.219,0.333,88.011,0.172,0.84
Paper Cuts,Dave,1gFMfqyVSXHMgvRloH2gDL,0.887,0.594,-7.7,0.294,0.204,139.97,0.0858,0.663
Game Over,Dave,0mn3HSJLVIqcXlcWkaXbgV,0.728,0.806,-5.204,0.181,0.182,140.053,0.129,0.297
Attitude,Dave,5u1IwY8m1KBKVXaHUoQrn7,0.818,0.574,-6.648,0.303,0.138,98.964,0.135,0.372
Calling Me Out,Dave,2r3FvMjd5CymIuuOp5cdNq,0.628,0.825,-3.807,0.143,0.00295,124.805,0.292,0.44
No Words,Dave,4USHZ3omhEBGjHLD9BIJYs,0.781,0.736,-5.413,0.29,0.344,100.55,0.125,0.536
Vossi Bop,Stormzy,44ZJ4hLD5onikKsVLQaILr,0.682,0.653,-6.062,0.339,0.13,188.115,0.129,0.428
Eastside (with Halsey & Khalid),benny blanco,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,-7.648,0.321,0.555,89.391,0.116,0.319
Saturday Nights,Khalid,5kfNriitmkNE8mUbZ7gbq8,0.551,0.44,-8.559,0.0985,0.606,167.923,0.11,0.341
Motion,Khalid,1gOyBTO1fDLDTH8Ap12Wyp,0.554,0.591,-7.215,0.0634,0.096,80.977,0.58,0.524
Vertigo,Khalid,06GcodDliPWAYFX2LSFLIu,0.487,0.458,-7.761,0.0371,0.552,115.989,0.117,0.207
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,-5.574,0.0466,0.556,89.911,0.0703,0.913
Bad Luck,Khalid,2vsuel3g4zaLYSOY0mOMbi,0.432,0.52,-5.515,0.0548,0.277,164.047,0.138,0.303
Location,Khalid,152lZdxL1OR0ZMW6KquMif,0.736,0.449,-11.462,0.425,0.33,80.126,0.0898,0.326
Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,0.798,0.539,-6.351,0.0421,0.199,136.949,0.165,0.394
Silence,Marshmello,7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,-3.093,0.0853,0.256,141.971,0.17,0.286
chateau,blackbear,13JyykwyYQ3T5QxxL34ukQ,0.667,0.635,-5.761,0.0518,0.0503,98.011,0.367,0.478
Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,-5.599,0.0338,0.414,95.01,0.111,0.661
Surprise Party (feat. Blackbear),Hoodie Allen,5UiT4e4DHwZrcVIXojU5um,0.671,0.699,-4.224,0.0647,0.00453,72.946,0.173,0.379
